"Method","Endpoint","Description","Status","Expected","Actual","ResponseType","Details"
"GET","/swagger/v1/swagger.json","OpenAPI specification","✅ PASS","200","200","PSCustomObject","Success"
"GET","/health","Health check","✅ PASS","503","503","Error",""
"GET","/api/academics","academics without auth","✅ PASS","401","401","Error",""
"GET","/api/departments","departments without auth","✅ PASS","401","401","Error",""
"GET","/api/rooms","rooms without auth","✅ PASS","401","401","Error",""
"GET","/api/extensions","extensions without auth","✅ PASS","401","401","Error",""
"GET","/api/reports/dashboard","dashboard without auth","✅ PASS","401","401","Error",""
"GET","/api/academics","Get all academics","❌ FAIL","200","401","Error",""
"GET","/api/departments","Get all departments","❌ FAIL","200","401","Error",""
"GET","/api/rooms","Get all rooms","❌ FAIL","200","401","Error",""
"GET","/api/extensions","Get all extensions","❌ FAIL","200","401","Error",""
"GET","/api/reports/dashboard","Get dashboard data","❌ FAIL","200","401","Error",""
"GET","/api/reports/academics/stats","Get academic statistics","❌ FAIL","200","401","Error",""
"GET","/api/departments/statistics","Get department statistics","❌ FAIL","200","401","Error",""
"GET","/api/rooms/available","Get available rooms","❌ FAIL","200","401","Error",""
"GET","/api/academics/99999","Get academics with invalid ID","✅ PASS","404","404","Error",""
"GET","/api/departments/99999","Get departments with invalid ID","✅ PASS","404","404","Error",""
"GET","/api/rooms/99999","Get rooms with invalid ID","❌ FAIL","404","401","Error",""
"GET","/api/extensions/99999","Get extensions with invalid ID","❌ FAIL","404","401","Error",""
"POST","/api/academics","Create academic with empty data","❌ FAIL","400","401","Error",""
"POST","/api/academics","Create academic with invalid EmpNr format","❌ FAIL","400","401","Error",""
"POST","/api/departments","Create department with empty name","❌ FAIL","400","401","Error",""
"POST","/api/academics","POST with wrong content-type","❌ FAIL","400","401","Error",""
"GET","/api/academics?pageNumber=1&pageSize=5","Academics with pagination","❌ FAIL","200","401","Error",""
"GET","/api/rooms?pageNumber=1&pageSize=10","Rooms with pagination","❌ FAIL","200","401","Error",""
"GET","/api/rooms/building/A","Rooms in building A","❌ FAIL","404","401","Error",""
